frq,I,Q,Mdiv,Ref,dac,Kdiv,I_offset,Q_offset,Z_real,Z_imag,Z_mag,Z_angle
4104.0,5963.0,8064.0,1082130432,32768,128,32,6837.231292517006,8021.319727891157,186.2145671018813,-5.621782393329383,186.29940804580943,-1.7292234705770417
4104.0,5542.0,7862.0,1082130432,32768,128,32,6416.231292517006,7819.319727891157,178.7630581570844,-2.061805288373165,178.77494791698388,-0.6608048919984818
4104.0,7541.0,7086.0,1082130432,32768,128,32,8415.231292517006,7043.319727891157,190.28137254495178,-38.06859912505182,194.0521037683813,-11.313500771116777
4104.0,5199.0,4199.0,1082130432,32768,128,32,6073.231292517006,4156.319727891157,124.57888514943122,-37.67775032445374,130.15187856726098,-16.827463707099643
4104.0,7050.0,7451.0,1082130432,32768,128,32,7924.231292517006,7408.319727891157,189.85065902615088,-27.304466712095717,191.8040839896162,-8.184202201682355
4104.0,5596.0,8862.0,1082130432,32768,128,32,6470.231292517006,8819.319727891156,193.11532638587542,8.20594035314845,193.289592948515,2.433173409648558
4104.0,7478.0,5475.0,1082130432,32768,128,32,8352.231292517006,5432.319727891157,167.42622111068798,-54.93957967043472,176.2098094027941,-18.166837304915365
4104.0,5243.0,5874.0,1082130432,32768,128,32,6117.231292517006,5831.319727891157,148.10330210400338,-19.84112160206125,149.4264307294311,-7.630375943405253
4104.0,6786.0,5637.0,1082130432,32768,128,32,7660.231292517006,5594.319727891157,161.97242262104368,-43.64895663623418,167.75069926877154,-15.082009244390097
4104.0,6136.0,4586.0,1082130432,32768,128,32,7010.231292517006,4543.319727891157,140.3026813617991,-46.29002864303042,147.74169739475414,-18.2592601384475
4104.0,7211.0,7495.0,1082130432,32768,128,32,8085.231292517006,7452.319727891157,192.24301270335707,-29.03194667216951,194.422812089628,-8.58773990511798
4104.0,6049.0,4888.0,1082130432,32768,128,32,6923.231292517006,4845.319727891157,143.49026454539853,-41.769869281186594,149.4462378217527,-16.230223992996546
4104.0,6200.0,5499.0,1082130432,32768,128,32,7074.231292517006,5456.319727891157,153.5694618664515,-37.117505803456986,157.9914201943294,-13.587713488794511
4104.0,7508.0,6784.0,1082130432,32768,128,32,8382.231292517006,6741.319727891157,185.7616929256508,-40.94013474650268,190.21961305729118,-12.428764448488971
4104.0,6324.0,4308.0,1082130432,32768,128,32,7198.231292517006,4265.319727891157,138.56634714090063,-51.93354862124555,147.97880264540547,-20.545592729287584
4104.0,7460.0,5694.0,1082130432,32768,128,32,8334.231292517006,5651.319727891157,170.23827528369958,-52.28117794426682,178.08535015213567,-17.072030812148917
4104.0,7089.0,5757.0,1082130432,32768,128,32,7963.231292517006,5714.319727891157,166.98630510111718,-46.49057642176258,173.3372429322422,-15.55770863409754
4104.0,4313.0,6357.0,1082130432,32768,128,32,5187.231292517006,6314.319727891157,144.42216912152242,-1.746638099186498,144.4327306340746,-0.6928999427610909
4104.0,2954.0,7514.0,1082130432,32768,128,32,3828.2312925170068,7471.319727891157,145.24819531866513,29.66216341843981,148.24601911009728,11.542071133614593
4104.0,6499.0,4132.0,1082130432,32768,128,32,7373.231292517006,4089.3197278911566,138.0884906057391,-56.2754858091322,149.11526260187165,-22.172470490868484
4104.0,4484.0,5207.0,1082130432,32768,128,32,5358.231292517006,5164.319727891157,130.50465798476304,-16.75699720264968,131.57607195447653,-7.3168300437662515
4104.0,7189.0,5310.0,1082130432,32768,128,32,8063.231292517006,5267.319727891157,161.9488727639736,-52.785732505896924,170.3342917492124,-18.052898278213707
4104.0,6745.0,5181.0,1082130432,32768,128,32,7619.231292517006,5138.319727891157,155.24600154845623,-48.1060664623291,162.52850404547905,-17.21663647568247
